RANK,Part Number,Component Code,Problem Description ,Volume,SQ,In Process,FPY,CAL,Warehouse,Dealer,SIR 1 MIS,n.,PPM,R=1:5 of freq,$,Min,Labor Cost,Total Cost,R=1:5 of cost,R=1:10 severity,1,3,5,30,35,40,48,Priority 
AA,w11385745 / w11385756 / w11385737,ACU,LONG DRAIN / Flujo,109784,125,0,0,0,,,30,155,1411.863295,5,10.97,15,0.9325,11.9025,5,4,125,0,0,0,0,0,1440,156500
AA,W11307231,Inner tray,Rotos,109784,10115,0,0,0,,,0,10115,92135.46601,5,0.31,2,0.124333333,0.434333333,1,3,10115,0,0,0,0,0,0,151725
AA,W11373428,BOLAS DE SUSPENSIÓN,Rotas,109784,0,2,3,0,,9,19,33,300.5902499,5,0.7,30,1.865,2.565,3,4,0,6,15,0,0,360,912,77580
AA,w11385745 / w11385756 / w11385737,ACU,Falla funcional,109784,15,0,152,0,,,0,167,1521.168841,5,10.97,15,0.9325,11.9025,5,4,15,0,760,0,0,0,0,77500
AA,W10815026,ACTUATOR - SHIFT,En corto / Falla funcional,109784,1,0,2,0,,,22,25,227.7198863,5,3,12,0.746,3.746,3,4,1,0,10,0,0,0,1056,64020
AA,W11260197,MANGUERA APS,Doblada,109784,702,0,0,0,,,1,703,6403.483203,5,4.42,5,0.310833333,4.730833333,4,4,702,0,0,0,0,0,48,60000
AA,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Abierta / flujo continuo,109784,1,0,2,1,,,16,20,182.1759091,5,1.77,15,0.9325,2.7025,3,4,1,0,10,30,0,0,768,48540
AA,"W11296162
W11296163",Mega,Falla funcional / no enciende,109784,4,69,66,0,,,0,139,1266.122568,5,4.17,10,0.621666667,4.791666667,4,4,4,207,330,0,0,0,0,43280
AA,W11084453 / W11226774,VARILLAS DE SUSPENSIÓN,Rotas / Dañadas / Vencidas,109784,1,0,0,0,,,13,14,127.5231363,5,0.7,30,1.865,2.565,3,4,1,0,0,0,0,0,624,37500
AA,"W10677719, W10899834, W10677721",MOTOR,Tornillo barrido / Falta de torque,109784,0,21,56,0,,,0,77,701.3772499,5,16.3,20,1.243333333,17.54333333,5,4,0,63,280,0,0,0,0,34300
AA,OK,Arnes cable de tierra,Tornillos barridos,109784,0,4,47,0,,,0,51,464.5485681,5,1.26,20,1.243333333,2.503333333,3,9,0,12,235,0,0,0,0,33345
AA,w11385745 / w11385756 / w11385737,ACU,Mal programado en línea,109784,0,14,56,0,,,0,70,637.6156817,5,10.97,15,0.9325,11.9025,5,4,0,42,280,0,0,0,0,32200
AA,"w11295686
w11295684",Tarjeta Robin,Falla funcional / no enciende,109784,22,105,38,0,,,0,165,1502.95125,5,2.78,10,0.621666667,3.401666667,3,4,22,315,190,0,0,0,0,31620
AA,"W11307594
W11361786
W11307595
W11361787",Cover hinge assy,Lid baja rápido / Falta de torque,109784,702,0,0,0,,,0,702,6394.374408,5,3.32,3,0.1865,3.5065,3,3,702,0,0,0,0,0,0,31590
AA,W11297195 / w11304407 / w11369163,LID,Ruido,109784,0,0,0,1,,,7,8,72.87036362,5,12.17,3,0.1865,12.3565,5,3,0,0,0,30,0,0,336,27450
AA,W11297195 / w11304407 / w11369163,Lid Plastico,Bisagra mal ensamble,109784,0,120,0,0,,,0,120,1093.055454,5,12.17,3,0.1865,12.3565,5,3,0,360,0,0,0,0,0,27000
A,W10531691 / W10715783,AGITADOR,Suelto / Mal ensamble / Sin ensamblar,109784,0,30,22,1,,,4,57,519.2013408,5,2.99,10,0.621666667,3.611666667,3,4,0,90,110,30,0,0,192,25320
A,W11287268 / W11282699,Top panel,Equivocado,109784,144,81,0,0,,,0,225,2049.478977,5,7.7,30,1.865,9.565,4,3,144,243,0,0,0,0,0,23220
A,W11368879 /  W11281154 ,Fascia,Serigrafía incompleta,109784,40,155,7,0,,,0,202,1839.976681,5,8.79,15,0.9325,9.7225,4,2,40,465,35,0,0,0,0,21600
A,w11101593 / w11101591 / W11161683 / W11161682,ARNES DE VÁLVULA,Desconectado,109784,0,2,2,0,,,10,14,127.5231363,5,1.26,20,1.243333333,2.503333333,3,4,0,6,10,0,0,0,480,29760
A,W10715767,TRANSMISIÓN,Ruidosa,109784,0,0,0,1,,,5,6,54.65277272,5,16.25,30,1.865,18.115,5,3,0,0,0,30,0,0,240,20250
A,W10815026,ACTUATOR - SHIFT,Dañado / agrietado / golpeado / quebrado,109784,2,20,6,0,,,5,33,300.5902499,5,3,12,0.746,3.746,3,4,2,60,30,0,0,0,240,19920
A,w11385745 / w11385756 / w11385737,ACU,Conector mal ensamblado / sin ensamblar,109784,0,2,38,0,,,0,40,364.3518181,5,10.97,15,0.9325,11.9025,5,4,0,6,190,0,0,0,0,19600
A,W11307231,Inner tray,Fuera de especificación / Deformes / Falta pestaña / Mal cortada / Mal troquedala / Incompleta,109784,1273,0,0,0,,,0,1273,11595.49661,5,0.31,2,0.124333333,0.434333333,1,3,1273,0,0,0,0,0,0,19095
A,W10006354,CAM SPLUTCH,Fuera de posición / Mal ensamble,109784,0,4,5,3,,,17,29,264.1550681,5,0.14,5,0.310833333,0.450833333,1,4,0,12,25,90,0,0,816,18860
A,"W11126948
W11126875
W11339251
W11339248",TINA,Fuga,109784,0,40,1,0,,,1,42,382.569409,5,12.72,60,3.73,16.45,5,4,0,120,5,0,0,0,48,17300
A,ok,ARNES DE CAPACITOR,Desconectado,109784,0,3,3,0,,,7,13,118.4143409,5,1.26,20,1.243333333,2.503333333,3,4,0,9,15,0,0,0,336,21600
A,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Desajustada / Abrazadera floja,109784,0,2,10,0,,,4,16,145.7407272,5,1.77,15,0.9325,2.7025,3,4,0,6,50,0,0,0,192,14880
A,ok,ARNES CABLE DE PODER,Desconectado,109784,0,0,0,0,,,7,7,63.76156817,5,1.26,20,1.243333333,2.503333333,3,4,0,0,0,0,0,0,336,20160
A,W10531691 / W10715783,AGITADOR,Equivocado,109784,24,95,0,0,,,0,119,1083.946659,5,2.99,10,0.621666667,3.611666667,3,3,24,285,0,0,0,0,0,13905
A,"W10677719, W10899834, W10677721",MOTOR,En corto / falla funcional,109784,2,0,8,0,,,2,12,109.3055454,5,16.3,20,1.243333333,17.54333333,5,4,2,0,40,0,0,0,96,13800
A,w11302950,LID LOCK,En corto / No candadea / Falla funcional,109784,1,0,5,0,,,3,9,81.97915908,5,3.75,15,0.9325,4.6825,4,4,1,0,25,0,0,0,144,13600
A,W10465543,BOMBA,Quebrada,109784,0,13,8,0,,,3,24,218.6110909,5,2.6,15,0.9325,3.5325,3,4,0,39,40,0,0,0,144,13380
A,W11307231,Inner tray,Despegados,109784,664,0,0,0,,,0,664,6048.240181,5,0.31,2,0.124333333,0.434333333,1,4,664,0,0,0,0,0,0,13280
A,w11385745 / w11385756 / w11385737  /  W10465543,ACU//Bomba ,En corto,109784,0,0,16,0,,,1,17,154.8495227,5,13.57,30,1.865,15.435,5,4,0,0,80,0,0,0,48,12800
A,ok,ARNES DE MOTOR,Desconectado,109784,0,2,3,0,,,6,11,100.19675,5,1.26,20,1.243333333,2.503333333,3,4,0,6,15,0,0,0,288,18540
A,"W11307594
W11361786
W11307595
W11361787",Cover hinge assy,Tiro corto,109784,205,0,0,0,,,0,205,1867.303068,5,3.32,3,0.1865,3.5065,3,4,205,0,0,0,0,0,0,12300
A,w11385745 / w11385756 / w11385737,ACU,No realiza prueba / Falla en prueba,109784,55,22,0,0,,,0,77,701.3772499,5,10.97,15,0.9325,11.9025,5,4,55,66,0,0,0,0,0,12100
A,ok,ARNES BOMBA,Desconectado,109784,0,0,0,0,,,6,6,54.65277272,5,1.26,15,0.9325,2.1925,3,4,0,0,0,0,0,0,288,17280
A,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Quemada,109784,0,0,0,0,,,4,3,27.32638636,5,1.77,15,0.9325,2.7025,3,4,0,0,0,0,0,0,192,11520
B,w11131744,TUB COVER - VERTIC,Pandeado / Deforme,109784,372,0,0,0,,,0,372,3388.471908,5,2.31,15,0.9325,3.2425,3,2,372,0,0,0,0,0,0,11160
B,"W11258338  W11258336  W11294875
W11294877",Cover hinge LH y RH,Tono diferente,109784,551,0,0,0,,,0,551,5018.946295,5,0.21,3,0.1865,0.3965,1,4,551,0,0,0,0,0,0,11020
B,W11297195 / w11304407 / w11369163,Lid Plastico,Hinge bracket equivocado,109784,0,48,0,0,,,0,48,437.2221817,5,12.17,3,0.1865,12.3565,5,3,0,144,0,0,0,0,0,10800
B,W11241390,Lid metalico,Tornillo mal ensamblado,109784,0,40,3,0,,,0,43,391.6782045,5,4.79,3,0.1865,4.9765,4,4,0,120,15,0,0,0,0,10800
B,W10715787,Agitador couple,Tornillo barrido,109784,0,61,17,0,,,0,78,710.4860453,5,0.71,10,0.621666667,1.331666667,2,4,0,183,85,0,0,0,0,10720
B,"W11295234
W11295240
w11295241
W11295236",CAP HINGE,Rayadas,109784,535,0,0,0,,,0,535,4873.205567,5,0.12,1,0.062166667,0.182166667,1,4,535,0,0,0,0,0,0,10700
B,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Falta de sello / empaque,109784,16,0,1,2,,,2,21,191.2847045,5,1.77,15,0.9325,2.7025,3,4,16,0,5,60,0,0,96,10620
B,W11290467 / W11290465 / W11290468 / W11290466,LABEL SCALE LEVEL,Equivocado,109784,500,10,0,0,,,0,510,4645.485681,5,0.31,5,0.310833333,0.620833333,1,4,500,30,0,0,0,0,0,10600
B,W10715767,TRANSMISIÓN,Pegada,109784,0,0,0,0,,,2,2,18.21759091,5,16.25,30,1.865,18.115,5,4,0,0,0,0,0,0,96,9600
B,W10715767,TRANSMISIÓN,Trabada,109784,0,0,0,0,,,2,2,18.21759091,5,16.25,30,1.865,18.115,5,4,0,0,0,0,0,0,96,9600
B,W10821259,Tube ring,Pandeado,109784,0,99,0,0,,,0,99,901.7707498,5,1.95,15,0.9325,2.8825,3,2,0,297,0,0,0,0,0,8910
B,W10465543,BOMBA,En corto / no activa,109784,1,0,0,0,,,3,4,36.43518181,5,2.6,15,0.9325,3.5325,3,4,1,0,0,0,0,0,144,8700
B,W10465543,BOMBA,Abierta,109784,0,0,0,0,,,3,3,27.32638636,5,2.6,15,0.9325,3.5325,3,4,0,0,0,0,0,0,144,8640
B,W11266058,REAR PANEL,Golpe,109784,0,0,0,0,,,3,3,27.32638636,5,2.84,5,0.310833333,3.150833333,3,4,0,0,0,0,0,0,144,8640
B,W11287268 / W11282699,Top panel,Tornillo mal ensamblado,109784,0,35,0,0,,,0,35,318.8078409,5,7.7,30,1.865,9.565,4,4,0,105,0,0,0,0,0,8400
B,  W11367372,"
LABEL - 10 YEARS WARRANTY
",Mal impresa,109784,402,0,0,0,,,0,402,3661.735772,5,0.04,3,0.1865,0.2265,1,4,402,0,0,0,0,0,0,8040
B,w11385745 / w11385756 / w11385737,ACU,En corto,109784,1,0,0,1,,,1,3,27.32638636,5,10.97,15,0.9325,11.9025,5,4,1,0,0,30,0,0,48,7900
B,W10808317,BANDA,Suelta / Mal colocada,109784,0,1,1,0,,,8,10,91.08795453,5,0.37,10,0.621666667,0.991666667,1,4,0,3,5,0,0,0,384,7840
B,W10669594,POLEA,Floja / sin torque,109784,0,0,0,0,,,8,8,72.87036362,5,0.8,3,0.1865,0.9865,1,4,0,0,0,0,0,0,384,7680
B,W11368879 /  W11281154 ,Fascia,Modelo equivocado,109784,14,21,3,0,,,0,38,346.1342272,5,8.79,15,0.9325,9.7225,4,4,14,63,15,0,0,0,0,7360
B,W10815026,ACTUATOR - SHIFT,Fuera de posición,109784,0,2,2,0,,,2,6,54.65277272,5,3,12,0.746,3.746,3,4,1,15,10,0,0,0,96,7320
B,w11306970 / w11369476 / W11331455,DISPENSADOR,Roto,109784,0,0,5,0,,,2,7,63.76156817,5,1.76,5,0.310833333,2.070833333,3,4,0,0,25,0,0,0,96,7260
B,W10715767,TRANSMISIÓN,Dañada / golpeada,109784,0,6,1,0,,,1,8,72.87036362,5,16.25,30,1.865,18.115,5,4,0,18,5,0,0,0,48,7100
B,W11182552,Auger agitador,Quebrado / pestaña quebrada,109784,0,3,20,0,,,0,23,209.5022954,5,1.85,10,0.621666667,2.471666667,3,4,0,9,100,0,0,0,0,6540
B,W11307231,Inner tray,Se trozan al doblar,109784,313,0,0,0,,,0,313,2851.052977,5,0.31,2,0.124333333,0.434333333,1,4,313,0,0,0,0,0,0,6260
B,W10531691 / W10715783,AGITADOR,Roto,109784,0,1,1,0,,,2,4,36.43518181,5,2.99,10,0.621666667,3.611666667,3,4,0,3,5,0,0,0,96,6240
B,W11260197,MANGUERA APS,Desconectada / sin ensamblar,109784,0,3,4,0,,,1,8,72.87036362,5,4.42,5,0.310833333,4.730833333,4,4,0,9,20,0,0,0,48,6160
B,ok,ARNES ACTUADOR,Desconectado,109784,0,1,0,0,,,3,4,36.43518181,5,1.26,20,1.243333333,2.503333333,3,4,0,3,0,0,0,0,144,8820
B,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,No abre,109784,1,0,0,0,,,2,3,27.32638636,5,1.77,15,0.9325,2.7025,3,4,1,0,0,0,0,0,96,5820
B,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Dañada / Quebrada,109784,0,0,0,0,,,2,2,18.21759091,5,1.77,15,0.9325,2.7025,3,4,0,0,0,0,0,0,96,5760
B,W10465543,BOMBA,Dañada,109784,0,0,0,0,,,2,2,18.21759091,5,2.6,15,0.9325,3.5325,3,4,0,0,0,0,0,0,96,5760
B,w11385745 / w11385756 / w11385737,ACU,Dañado,109784,5,0,0,0,,,1,2,18.21759091,5,10.97,15,0.9325,11.9025,5,4,5,0,0,0,0,0,48,5300
B,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Equivocada / Mal identificada,109784,84,0,0,0,,,0,84,765.138818,5,1.77,15,0.9325,2.7025,3,4,84,0,0,0,0,0,0,5040
B,W10715767,TRANSMISIÓN,Snap fuera de posición,109784,0,3,8,0,,,0,11,100.19675,5,16.25,30,1.865,18.115,5,4,0,9,40,0,0,0,0,4900
B,w11302950,LID LOCK,Fuera de posición,109784,0,1,2,0,,,1,4,36.43518181,5,3.75,15,0.9325,4.6825,4,4,0,3,10,0,0,0,48,4880
B,"W11295234
W11295240
w11295241
W11295236",CAP HINGE,Equivocado,109784,242,0,0,0,,,0,242,2204.3285,5,0.12,1,0.062166667,0.182166667,1,4,242,0,0,0,0,0,0,4840
B,"w11295686
w11295684",Tarjeta Robin,Falla de LED,109784,0,8,11,0,,,0,19,173.0671136,5,2.78,10,0.621666667,3.401666667,3,4,0,24,55,0,0,0,0,4740
B,ok,ARNES ACTUADOR,Trozado / Roto,109784,1,3,5,0,,,3,12,109.3055454,5,1.26,20,1.243333333,2.503333333,3,4,1,9,25,0,0,0,144,10740
B,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Tornillo ausente,109784,1,2,4,0,,,1,8,72.87036362,5,1.77,15,0.9325,2.7025,3,4,1,6,20,0,0,0,48,4500
B,ok,Arnes de capacitor,Cable roto,109784,0,0,15,0,,,0,15,136.6319318,5,1.26,20,1.243333333,2.503333333,3,4,0,0,75,0,0,0,0,4500
B,W11297195 / w11304407 / w11369163,Lid Plastico,Equivocado,109784,24,7,0,0,,,0,31,282.372659,5,12.17,3,0.1865,12.3565,5,4,24,21,0,0,0,0,0,4500
B,W11368879 /  W11281154 ,Fascia,Serigrafía movida,109784,3,3,8,0,,,0,14,127.5231363,5,8.79,15,0.9325,9.7225,4,4,3,9,40,0,0,0,0,4160
B,W10531691 / W10715783,AGITADOR,Tornillo barrido / falta de torque,109784,0,16,4,0,,,0,20,182.1759091,5,2.99,10,0.621666667,3.611666667,3,4,0,48,20,0,0,0,0,4080
B,W11287268 / W11282699,Top panel,Pestaña quebrada,109784,0,16,0,0,,,0,16,145.7407272,5,7.7,30,1.865,9.565,4,4,0,48,0,0,0,0,0,3840
B,w11385745 / w11385756 / w11385737,ACU,Desajustado,109784,0,0,0,0,,,1,1,9.108795453,4,10.97,15,0.9325,11.9025,5,4,0,0,0,0,0,0,48,3840
B,ok,ACU //Actuador ,En corto,109784,0,0,0,0,,,1,1,9.108795453,4,13.97,27,1.6785,15.6485,5,4,0,0,0,0,0,0,48,3840
B,W10715767,TRANSMISIÓN // ACTUADOR,Abierto,109784,0,0,0,0,,,1,1,9.108795453,4,16.25,30,1.865,18.115,5,4,0,0,0,0,0,0,48,3840
B,W10715767,SELLO DE TRANSMISIÓN,Fuera de posición,109784,0,0,0,0,,,1,1,9.108795453,4,16.25,30,1.865,18.115,5,4,0,0,0,0,0,0,48,3840
B,"W10677719, W10899834, W10677721",MOTOR // CAPACITOR,En corto,109784,0,0,0,0,,,1,1,9.108795453,4,16.3,20,1.243333333,17.54333333,5,4,0,0,0,0,0,0,48,3840
B,OK,Arnes cable de tierra,Cable roto,109784,0,1,12,0,,,0,13,118.4143409,5,1.26,20,1.243333333,2.503333333,3,4,0,3,60,0,0,0,0,3780
B,W11287268 / W11282699,Top panel,Mal ensamble,109784,0,2,8,0,,,0,10,91.08795453,5,7.7,30,1.865,9.565,4,4,0,6,40,0,0,0,0,3680
B,"W11296162
W11296163",Mega,Quebrada / rayada / golpeada,109784,0,0,9,0,,,0,9,81.97915908,5,4.17,10,0.621666667,4.791666667,4,4,0,0,45,0,0,0,0,3600
B,W11287268 / W11282699,Top panel,Soft clutch baja rápido,109784,0,14,0,0,,,0,14,127.5231363,5,7.7,30,1.865,9.565,4,4,0,42,0,0,0,0,0,3360
B,W10843769,CAPACITOR,Dañado / Quebrado,109784,0,1,1,0,,,1,3,27.32638636,5,2.02,15,0.9325,2.9525,3,4,0,3,5,0,0,0,48,3360
B,W11266059,REAR PANEL,Mal ensamble,109784,0,2,0,0,,,1,3,27.32638636,5,2.84,5,0.310833333,3.150833333,3,4,0,6,0,0,0,0,48,3240
B,"W10677719, W10899834, W10677721",MOTOR,Ruido,109784,2,0,0,1,,,0,3,27.32638636,5,16.3,20,1.243333333,17.54333333,5,4,2,0,0,30,0,0,0,3200
B,W11297195 / w11304407 / w11369163,Lid vidrio,Esquina despegada / Lid despegado,109784,2,0,0,1,,,0,3,27.32638636,5,12.17,3,0.1865,12.3565,5,4,2,0,0,30,0,0,0,3200
B,W11368879 /  W11281154 ,Fascia,Boton trabado,109784,0,0,0,0,,,1,1,9.108795453,4,8.79,15,0.9325,9.7225,4,4,0,0,0,0,0,0,48,3072
B,w11302950,LID LOCK,Desajustado,109784,0,0,0,0,,,1,1,9.108795453,4,3.75,15,0.9325,4.6825,4,4,0,0,0,0,0,0,48,3072
B,"W10677719, W10899834, W10677721",MOTOR,Tornillo ausente,109784,2,1,5,0,,,0,8,72.87036362,5,16.3,20,1.243333333,17.54333333,5,4,2,3,25,0,0,0,0,3000
B,W10815026,ACTUATOR - SHIFT,Dañado // No detecta movimiento // sensor,109784,2,0,0,0,,,1,3,27.32638636,5,3,12,0.746,3.746,3,4,2,0,0,0,0,0,48,3000
B,W10550173,COVER PULLEY,Suelto,109784,0,0,0,0,,,3,3,27.32638636,5,0.72,3,0.1865,0.9065,1,4,0,0,0,0,0,0,144,2880
B,W11260197,Arnes principal,Mal ensamblado,109784,0,2,0,1,,,0,3,27.32638636,5,4.42,20,1.243333333,5.663333333,4,4,0,6,0,30,0,0,0,2880
B,W10715767,TRANSMISIÓN,Tuerca barrida,109784,0,1,5,0,,,0,6,54.65277272,5,16.25,30,1.865,18.115,5,4,0,3,25,0,0,0,0,2800
B,W11368879 /  W11281154 ,Fascia,Overlay con burbuja / grumo,109784,43,13,11,0,,,0,67,610.2892953,5,8.79,15,0.9325,9.7225,4,1,43,39,55,0,0,0,0,2740
B,W11368879 /  W11281154 ,Fascia,Conector mal ensamblado encoder / sin ensamblar,109784,0,8,2,0,,,0,10,91.08795453,5,8.79,15,0.9325,9.7225,4,4,0,24,10,0,0,0,0,2720
C,W10843769,CAPACITOR,Conector invertido,109784,45,0,0,0,,,0,45,409.8957954,5,2.02,15,0.9325,2.9525,3,4,45,0,0,0,0,0,0,2700
C,W10531691 / W10715783,AGITADOR,Ausente,109784,0,15,0,0,,,0,15,136.6319318,5,2.99,10,0.621666667,3.611666667,3,4,0,45,0,0,0,0,0,2700
C,"W11296162
W11296163",Mega,Leds encendidos (dañada),109784,3,0,0,1,,,0,4,36.43518181,5,4.17,10,0.621666667,4.791666667,4,4,3,0,0,30,0,0,0,2640
C,W10715767,TRANSMISIÓN,Tornillo ausente,109784,0,5,2,0,,,0,7,63.76156817,5,16.25,30,1.865,18.115,5,4,0,15,10,0,0,0,0,2500
C,"W11307594
W11361786
W11307595
W11361787",Cover hinge assy,Tono diferente,109784,41,0,0,0,,,0,41,373.4606136,5,3.32,3,0.1865,3.5065,3,4,41,0,0,0,0,0,0,2460
C,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Falta de torque,109784,0,0,8,0,,,0,8,72.87036362,5,1.77,15,0.9325,2.7025,3,4,0,0,40,0,0,0,0,2400
C,ok,Etiqueta de energía,Ausente,109784,0,30,6,0,,,0,36,327.9166363,5,0.02,2,0.124333333,0.144333333,1,4,0,90,30,0,0,0,0,2400
C,W10215115,Impeller,Tornillo barrido,109784,0,10,2,0,,,0,12,109.3055454,5,1.6,5,0.310833333,1.910833333,3,4,0,30,10,0,0,0,0,2400
C,W11368879 /  W11281154 ,Fascia,Overlay marcado / Rayado,109784,29,0,0,0,,,0,29,264.1550681,5,8.79,15,0.9325,9.7225,4,4,29,0,0,0,0,0,0,2320
C,W11368879 /  W11281154 ,Fascia,Perilla ausente,109784,0,3,4,0,,,0,7,63.76156817,5,8.79,15,0.9325,9.7225,4,4,0,9,20,0,0,0,0,2320
C,W10531691 / W10715783,AGITADOR,Tornillo adicional,109784,0,0,0,0,,,1,1,9.108795453,4,2.99,10,0.621666667,3.611666667,3,4,0,0,0,0,0,0,48,2304
C,W10531691 / W10715783,AGITADOR,Gap,109784,0,0,0,0,,,1,1,9.108795453,4,2.99,10,0.621666667,3.611666667,3,4,0,0,0,0,0,0,48,2304
C,,ARNES,Sin continuidad,109784,0,0,0,0,,,1,1,9.108795453,4,1.26,20,1.243333333,2.503333333,3,4,0,0,0,0,0,0,48,2304
C,W11084453 / W11226774,VARILLAS DE SUSPENSIÓN,Falta,109784,0,0,0,0,,,1,1,9.108795453,4,0.7,30,1.865,2.565,3,4,0,0,0,0,0,0,48,2304
C,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Tapada,109784,0,0,0,0,,,1,1,9.108795453,4,1.77,15,0.9325,2.7025,3,4,0,0,0,0,0,0,48,2304
C,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Quebrada,109784,0,0,0,0,,,1,1,9.108795453,4,1.77,15,0.9325,2.7025,3,4,0,0,0,0,0,0,48,2304
C,W10465543,BOMBA,Quemada,109784,0,0,0,0,,,1,1,9.108795453,4,2.6,15,0.9325,3.5325,3,4,0,0,0,0,0,0,48,2304
